"[tensor([[     78,      91,     145,  ..., 1536956,    1024,    8192]]), tensor([[1]])]",1536956,0.99999833,49,0.9999937
"[tensor([[   78,    91,   145,  ..., 95780,  1024,  8192]]), tensor([[1]])]",95780,1.0,49,1.0
"[tensor([[   78,    91,   145,  ..., 55296,  1024,  8192]]), tensor([[1]])]",55296,0.99778974,49,0.6166091
"[tensor([[    78,     91,    145,  ..., 363520,   1024,   8192]]), tensor([[1]])]",363520,0.9161898,10,0.49274522
"[tensor([[    78,     91,    145,  ..., 549376,   1024,   8192]]), tensor([[1]])]",549376,0.9999299,49,0.99917537
"[tensor([[    78,     91,     81,  ..., 477184,   1024,   8192]]), tensor([[1]])]",477184,0.69669145,3,0.4894545
"[tensor([[   78,    91,   145,  ..., 73792,  1024,  8192]]), tensor([[1]])]",73792,0.9678449,5,0.49208364
"[tensor([[    78,     91,    145,  ..., 432128,   1024,   8192]]), tensor([[1]])]",432128,0.9941584,26,0.49696112
"[tensor([[     78,      91,     145,  ..., 1296357,    1024,    8192]]), tensor([[1]])]",1296357,0.9999975,49,0.9999894
"[tensor([[     78,      91,     145,  ..., 1772549,    1024,    8192]]), tensor([[1]])]",1772549,0.99999857,49,0.9996418
"[tensor([[    78,     91,    145,  ..., 961832,   1024,   8192]]), tensor([[1]])]",961832,0.9754033,49,0.5812604
"[tensor([[   78,    91,   129,  ..., 70656,   512,  8192]]), tensor([[1]])]",70656,0.9980667,13,0.43263352
"[tensor([[     78,      91,     145,  ..., 1155320,    1024,    8192]]), tensor([[1]])]",1155320,0.9708444,14,0.45956847
"[tensor([[   78,    91,   145,  ..., 49682,  1024,  8192]]), tensor([[1]])]",49682,0.9988801,15,0.46242756
"[tensor([[    78,     91,    145,  ..., 454404,   1024,   8192]]), tensor([[1]])]",454404,0.99287146,49,0.87123466
"[tensor([[   78,    91,   145,  ..., 58178,  1024,  8192]]), tensor([[1]])]",58178,0.9967114,23,0.48334572
"[tensor([[    78,     91,    145,  ..., 743424,   1024,   8192]]), tensor([[1]])]",743424,0.92236793,17,0.48812217
"[tensor([[     78,      91,     145,  ..., 1016721,    1024,    8192]]), tensor([[1]])]",1016721,0.98956037,15,0.46201658
"[tensor([[    78,     91,    145,  ..., 188369,   1024,   8192]]), tensor([[1]])]",188369,0.9993592,18,0.4895355
"[tensor([[    78,     91,    145,  ..., 188830,   1024,   8192]]), tensor([[1]])]",188830,0.58557296,0,0.47110876
"[tensor([[   78,    91,   145,  ..., 62464,  1024,  8192]]), tensor([[1]])]",62464,0.99568653,24,0.48292726
"[tensor([[    78,     91,    145,  ..., 507189, 158208,   8192]]), tensor([[1]])]",507189,0.9999995,49,0.99996793
"[tensor([[     78,      91,     145,  ..., 1164800,    1024,    8192]]), tensor([[1]])]",1164800,0.984253,22,0.48225167
"[tensor([[    78,     91,    145,  ..., 430080,   1024,   8192]]), tensor([[1]])]",430080,0.8713314,5,0.4731727
